usuario,latitud,longitud,aceleracion,temperatura,dia,hora,email
Juan Pérez,25.6866,-100.3161,1.2,28.5,Lunes,08:15,juan.perez@paysafe.mx
Juan Pérez,25.6712,-100.3089,0.9,27.8,Lunes,09:20,juan.perez@paysafe.mx
Juan Pérez,25.6950,-100.3350,1.1,26.5,Lunes,10:45,juan.perez@paysafe.mx
Juan Pérez,25.6800,-100.3100,1.4,29.2,Lunes,14:30,juan.perez@paysafe.mx
Juan Pérez,25.6600,-100.2950,0.8,27.1,Lunes,16:15,juan.perez@paysafe.mx
Juan Pérez,25.6845,-100.3245,1.0,28.9,Lunes,18:30,juan.perez@paysafe.mx
Juan Pérez,25.6725,-100.3125,1.3,27.5,Martes,07:45,juan.perez@paysafe.mx
Juan Pérez,25.6910,-100.3190,0.7,26.8,Martes,10:20,juan.perez@paysafe.mx
Juan Pérez,25.6780,-100.3075,1.2,28.2,Martes,12:15,juan.perez@paysafe.mx
Juan Pérez,25.6650,-100.3220,0.9,27.6,Martes,15:50,juan.perez@paysafe.mx
Juan Pérez,25.6920,-100.3155,1.1,29.0,Martes,17:10,juan.perez@paysafe.mx
Juan Pérez,25.6770,-100.3095,0.8,26.9,Martes,19:25,juan.perez@paysafe.mx
Juan Pérez,25.6890,-100.3265,1.4,28.7,Miércoles,08:40,juan.perez@paysafe.mx
Juan Pérez,25.6705,-100.3135,1.0,27.3,Miércoles,11:55,juan.perez@paysafe.mx
Juan Pérez,25.6835,-100.3175,1.3,29.1,Miércoles,13:30,juan.perez@paysafe.mx
Juan Pérez,25.6915,-100.3205,0.9,28.0,Miércoles,16:20,juan.perez@paysafe.mx
Juan Pérez,25.6755,-100.3115,1.1,27.7,Miércoles,18:45,juan.perez@paysafe.mx
Juan Pérez,25.6875,-100.3235,0.8,26.6,Jueves,07:30,juan.perez@paysafe.mx
Juan Pérez,25.6695,-100.3165,1.2,28.4,Jueves,09:50,juan.perez@paysafe.mx
Juan Pérez,25.6935,-100.3195,1.0,27.2,Jueves,12:10,juan.perez@paysafe.mx
Juan Pérez,25.6805,-100.3145,1.4,29.3,Jueves,14:35,juan.perez@paysafe.mx
Juan Pérez,25.6685,-100.3255,0.9,27.9,Jueves,17:20,juan.perez@paysafe.mx
Juan Pérez,25.6925,-100.3185,1.1,28.6,Viernes,08:05,juan.perez@paysafe.mx
Juan Pérez,25.6765,-100.3105,0.7,26.8,Viernes,10:25,juan.perez@paysafe.mx
Juan Pérez,25.6855,-100.3275,1.3,29.0,Viernes,13:15,juan.perez@paysafe.mx
Juan Pérez,25.6715,-100.3155,1.0,27.5,Viernes,15:55,juan.perez@paysafe.mx
Juan Pérez,25.6895,-100.3225,0.8,26.9,Viernes,18:25,juan.perez@paysafe.mx
Juan Pérez,25.6735,-100.3195,1.2,28.3,Sábado,09:30,juan.perez@paysafe.mx
Juan Pérez,25.6865,-100.3165,1.1,27.6,Sábado,11:40,juan.perez@paysafe.mx
Juan Pérez,25.6675,-100.3245,0.9,26.5,Sábado,14:15,juan.perez@paysafe.mx
Juan Pérez,25.6945,-100.3215,1.4,29.1,Sábado,16:50,juan.perez@paysafe.mx
Juan Pérez,25.6775,-100.3135,1.0,27.8,Domingo,10:00,juan.perez@paysafe.mx
Juan Pérez,25.6885,-100.3255,0.8,26.7,Domingo,12:30,juan.perez@paysafe.mx
Juan Pérez,25.6725,-100.3175,1.3,28.5,Domingo,15:10,juan.perez@paysafe.mx
Juan Pérez,25.6905,-100.3145,1.1,27.4,Domingo,17:45,juan.perez@paysafe.mx
María García,25.7000,-100.3200,2.1,30.8,Lunes,07:45,maria.garcia@paysafe.mx
María García,25.6750,-100.3400,1.8,29.5,Lunes,10:30,maria.garcia@paysafe.mx
María García,25.6900,-100.3000,1.6,31.2,Lunes,13:00,maria.garcia@paysafe.mx
María García,25.6650,-100.3250,1.9,28.9,Lunes,15:10,maria.garcia@paysafe.mx
María García,25.6920,-100.3120,2.0,30.3,Lunes,17:20,maria.garcia@paysafe.mx
María García,25.6875,-100.3285,1.7,29.7,Lunes,19:15,maria.garcia@paysafe.mx
María García,25.6795,-100.3225,2.2,31.5,Martes,08:00,maria.garcia@paysafe.mx
María García,25.6680,-100.3155,1.9,30.1,Martes,10:45,maria.garcia@paysafe.mx
María García,25.6950,-100.3315,2.1,32.0,Martes,13:20,maria.garcia@paysafe.mx
María García,25.6710,-100.3195,1.8,29.8,Martes,15:50,maria.garcia@paysafe.mx
María García,25.6840,-100.3265,2.0,30.6,Martes,18:35,maria.garcia@paysafe.mx
María García,25.6765,-100.3180,1.6,28.7,Miércoles,07:25,maria.garcia@paysafe.mx
María García,25.6915,-100.3245,1.9,31.3,Miércoles,10:40,maria.garcia@paysafe.mx
María García,25.6690,-100.3110,2.2,30.9,Miércoles,13:15,maria.garcia@paysafe.mx
María García,25.6825,-100.3305,1.7,29.4,Miércoles,15:55,maria.garcia@paysafe.mx
María García,25.6735,-100.3235,2.1,31.8,Miércoles,18:20,maria.garcia@paysafe.mx
María García,25.6895,-100.3175,1.8,30.2,Jueves,08:10,maria.garcia@paysafe.mx
María García,25.6655,-100.3295,2.0,31.1,Jueves,11:10,maria.garcia@paysafe.mx
María García,25.6935,-100.3145,1.9,29.9,Jueves,13:35,maria.garcia@paysafe.mx
María García,25.6775,-100.3215,2.2,32.3,Jueves,16:45,maria.garcia@paysafe.mx
María García,25.6885,-100.3255,1.7,30.5,Viernes,07:25,maria.garcia@paysafe.mx
María García,25.6715,-100.3165,1.9,29.7,Viernes,10:25,maria.garcia@paysafe.mx
María García,25.6945,-100.3285,2.1,31.4,Viernes,13:30,maria.garcia@paysafe.mx
María García,25.6685,-100.3135,1.8,30.0,Viernes,16:20,maria.garcia@paysafe.mx
María García,25.6825,-100.3225,2.0,31.6,Sábado,09:15,maria.garcia@paysafe.mx
María García,25.6755,-100.3195,1.6,29.3,Sábado,12:40,maria.garcia@paysafe.mx
María García,25.6905,-100.3265,2.2,32.1,Sábado,15:40,maria.garcia@paysafe.mx
María García,25.6665,-100.3155,1.9,30.8,Domingo,10:00,maria.garcia@paysafe.mx
María García,25.6935,-100.3185,2.1,31.5,Domingo,13:15,maria.garcia@paysafe.mx
María García,25.6785,-100.3245,1.8,29.9,Domingo,16:30,maria.garcia@paysafe.mx
Carlos López,25.6780,-100.3180,2.8,32.1,Lunes,08:25,carlos.lopez@paysafe.mx
Carlos López,25.6850,-100.3050,2.5,31.5,Lunes,11:30,carlos.lopez@paysafe.mx
Carlos López,25.6700,-100.3300,2.3,30.9,Lunes,14:15,carlos.lopez@paysafe.mx
Carlos López,25.6950,-100.3150,2.7,32.8,Lunes,16:45,carlos.lopez@paysafe.mx
Carlos López,25.6620,-100.3080,2.4,31.7,Lunes,19:00,carlos.lopez@paysafe.mx
Carlos López,25.6815,-100.3235,2.6,32.5,Martes,07:50,carlos.lopez@paysafe.mx
Carlos López,25.6745,-100.3145,2.9,33.2,Martes,10:20,carlos.lopez@paysafe.mx
Carlos López,25.6885,-100.3215,2.5,31.9,Martes,12:35,carlos.lopez@paysafe.mx
Carlos López,25.6665,-100.3125,2.8,32.3,Martes,15:10,carlos.lopez@paysafe.mx
Carlos López,25.6935,-100.3275,2.4,30.7,Martes,17:45,carlos.lopez@paysafe.mx
Carlos López,25.6795,-100.3165,2.7,32.6,Miércoles,08:45,carlos.lopez@paysafe.mx
Carlos López,25.6720,-100.3255,2.3,31.2,Miércoles,11:15,carlos.lopez@paysafe.mx
